Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"13,990,447",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Cabinet Office,Salaries and wages,
2014-2015,"10,592,599",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Cabinet Office,Services,
2014-2015,"1,545,638",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Cabinet Office,Employee benefits,
2014-2015,"1,129,485",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Cabinet Office,Transportation and communication,
2014-2015,"310,895",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Cabinet Office,Supplies and equipment,
2014-2015,"249,599",Cabinet Office,Operating Expense,Cabinet Office,Government House Leader,Government House Leader,Salaries and wages,
2014-2015,"33,734",Cabinet Office,Operating Expense,Cabinet Office,Government House Leader,Government House Leader,Employee benefits,
2014-2015,"8,891",Cabinet Office,Operating Expense,Cabinet Office,Government House Leader,Government House Leader,Services,
2014-2015,"4,564",Cabinet Office,Operating Expense,Cabinet Office,Government House Leader,Government House Leader,Supplies and equipment,
2014-2015,"2,284",Cabinet Office,Operating Expense,Cabinet Office,Government House Leader,Government House Leader,Transportation and communication,
2014-2015,"4,423,280",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Salaries and wages,
2014-2015,"3,000,000",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Transfer payments,International Disaster Relief
2014-2015,"2,513,485",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Services,
2014-2015,"558,898",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Employee benefits,
2014-2015,"184,218",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Transportation and communication,
2014-2015,"107,544",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Supplies and equipment,
2014-2015,"24,000",Cabinet Office,Operating Expense,Cabinet Office,Main Office,Intergovernmental Affairs,Transfer payments,Institute of Intergovernmental Relations
2014-2015,-,Cabinet Office,Operating Expense,Cabinet Office,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,-,Cabinet Office,Operating Expense,Cabinet Office,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"49,301",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"91,603",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Supplies and equipment,
2014-2015,"105,285",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Supplies and equipment,
2014-2015,"200,000",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Métis Nation of Ontario
2014-2015,"244,997",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"247,100",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Chiefs of Ontario
2014-2015,"252,419",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Transportation and communication,
2014-2015,"367,833",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transportation and communication,
2014-2015,"371,700",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Ontario Native Women's Association
2014-2015,"446,100",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Ontario Federation of Indian Friendship Centres
2014-2015,"466,250",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Urban Aboriginal Strategy
2014-2015,"512,049",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Employee benefits,
2014-2015,"769,485",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Six Nations Fund
2014-2015,"1,250,085",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Employee benefits,
2014-2015,"1,279,000",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Islington Grassy Narrows Mercury Disability Fund"
2014-2015,"12,824",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"1,696,249",Ministry of Aboriginal Affairs,Capital Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Aboriginal Community Capital Grants Program"
2014-2015,"1,733,133",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Support for Algonquin Negotiation Fund"
2014-2015,"1,935,174",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Policy Development Engagement Fund"
2014-2015,"3,000,000",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Métis Economic Development Fund"
2014-2015,"3,257,024",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Support for Community Negotiations Fund"
2014-2015,"3,300,000",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Land Claims and Self-Government Initiatives,Land Claims and Self-Government Initiatives,Transfer payments,Land Claim Settlements
2014-2015,"4,029,551",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Salaries and wages,
