Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"24,000",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transfer Payments,Institute of Intergovernmental Relations
2015-16,"3,000,000",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transfer Payments,International Disaster Relief
2015-16,"28,799",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,Government House Leader,Employee Benefits,
2015-16,"278,174",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,Government House Leader,Salaries and Wages,
2015-16,"10,387",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,Government House Leader,Services,
2015-16,"1,891",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,Government House Leader,Supplies and equipment,
2015-16,"4,655",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,Government House Leader,Transportation and Communication,
2015-16,"594,211",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Employee Benefits,
2015-16,"1,792,422",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Employee Benefits,
2015-16,"4,489,835",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Salaries and Wages,
2015-16,"14,884,588",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Salaries and Wages,
2015-16,"760,271",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Services,
2015-16,"5,351,568",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Services,
2015-16,"92,765",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Supplies and equipment,
2015-16,"267,090",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Supplies and equipment,
2015-16,"367,150",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Transportation and Communication,
2015-16,"472,867",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transportation and Communication,
2015-16,"2,999,978",Ministry of Aboriginal Affairs ,Capital Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Aboriginal Community Capital Grants Program"
2015-16,"9,583,560",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Aboriginal Economic Development Fund"
2015-16,"247,100",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Chiefs of Ontario
2015-16,"1,274,001",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Islington Grassy Narrows Mercury Disability Fund"
2015-16,"4,500,000",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Land Claims and Self-Government Initiatives,Land Claims and Self-Government Initiatives,Transfer Payments,Land Claim Settlements
2015-16,"3,000,000",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Métis Economic Development Fund"
2015-16,"200,000",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Métis Nation of Ontario
2015-16,"11,100",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Land Claims and Self-Government Initiatives,Land Claims and Self-Government Initiatives,Transfer Payments,Negotiated Settlements
2015-16,"14,376,141",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,New Relationship Fund
