Year,Amount ($),Ministry Name (Level 1),"Expenditure Category (Operating / Capital)
(Level 2)","Program Name
(Level 3)","Activity / Item
(Level 4)","Sub-Item 
(Level 5)",Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2016-17,"3,412","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Transportation and communication,
2016-17,"466,746","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2016-17,"12,165","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,
2016-17,"29,205","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,
2016-17,"186,393","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,
2016-17,"458,212","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,
2016-17,"3,054,669","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,
2016-17,"206,190","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,
2016-17,"230,908","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,
2016-17,"761,863","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,
2016-17,"2,233,576","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,
2016-17,"2,430,792","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,
2016-17,"58,927","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2016-17,"84,469","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,
2016-17,"544,300","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,
2016-17,"969,672","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2016-17,"3,534,516","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,
2016-17,"16,193","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,
2016-17,"25,630","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,
2016-17,"200,497","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2016-17,"272,340","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,
2016-17,"1,963,755","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,
2016-17,"9,654","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2016-17,"20,465","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,
2016-17,"2,647,966","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2016-17,"41,140","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
