Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital)(Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),Account Details (Expense/Asset Details) (Level 7)
2017-18,"8,713,450",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Salaries and wages,No Value
2017-18,"1,060,585",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Employee benefits,No Value
2017-18,"327,002",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Transportation and communication,No Value
2017-18,"6,617,976",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Services,No Value
2017-18,"217,925",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Supplies and equipment,No Value
2017-18,"25,000",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Transfer payments,APESOD AOERB - Director's Office
2017-18,"1,950,859",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Transfer payments,Enabling Change
2017-18,"1,177",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Recoveries,No Value
2017-18,"63,246,649",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Salaries and wages,No Value
2017-18,"9,901,434",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Employee benefits,No Value
2017-18,"2,725,840",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transportation and communication,No Value
2017-18,"20,451,345",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Services,No Value
2017-18,"657,143",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Supplies and equipment,No Value
2017-18,"892,488,468",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,Employment and Training
2017-18,"1,960,329",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,GGRA Low Carbon Building Skills
2017-18,"126,290,700",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,Ontario Apprenticeship Training Tax Credit
2017-18,"81,848,082",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,Ontario Co-operative Education Tax Credit
2017-18,"-1,960,329",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Recoveries,No Value
2017-18,"14,172,521",Advanced Education and Skills Development,Capital Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,Apprenticeship Enhancement Fund
2017-18,"3,944,126",Advanced Education and Skills Development,Capital Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,GGRA Low Carbon Building Skills
2017-18,"50,000",Advanced Education and Skills Development,Capital Expense,Employment Ontario Program,Employment Ontario System,No Value,Transfer payments,Sector Training Facility Initiative
2017-18,"-3,944,126",Advanced Education and Skills Development,Capital Expense,Employment Ontario Program,Employment Ontario System,No Value,Recoveries,No Value
2017-18,"1,185,634",Advanced Education and Skills Development,Capital Expense,Employment Ontario Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2017-18,"87,448",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Loans for Tools, the Financial Administration Act"
2017-18,"1,751,797",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses - Other, the Financial Administration Act"
2017-18,"2,625,079",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2017-18,"66,000",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2017-18,"296,050",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2017-18,"209,629",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2017-18,"157,096",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2017-18,"5,511",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2017-18,"6,935",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2017-18,"297,155",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2017-18,"7,666,919",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2017-18,"1,290,700",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2017-18,"4,187,500",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2017-18,"1,223,000",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
