Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"-894,207,223",Finance,Operating Expense,Treasury Program,"Statutory Appropriations - Interest on debt, the Financial Administration Act",No Value,Other transactions,Less: Interest on Investments
2018-19,"-736,876,038",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Recoveries,No Value
2018-19,"-602,458,446",Transportation,Capital Expense,Policy and Planning,Urban and Regional Transportation,No Value,Recoveries,No Value
2018-19,"-367,137,656",Treasury Board Secretariat,Operating Expense,Enterprise Information Technology Services Program,Enterprise Information and Information Technology Services,No Value,Recoveries,No Value
2018-19,"-363,934,395",Transportation,Operating Expense,Policy and Planning,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-223,346,576",Environment and Climate Change,Operating Expense,Climate Change Policy and Programs,Climate Change Policy and Programs,No Value,Recoveries,No Value
2018-19,"-216,012,400",Treasury Board Secretariat,Operating Expense,Central Agencies Cluster Program,Central Agencies Cluster,No Value,Recoveries,No Value
2018-19,"-169,300,000",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Long-Term Income Protection (LTIP)
2018-19,"-156,045,315","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Recoveries,No Value
2018-19,"-149,603,615",Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,No Value,Recoveries,No Value
2018-19,"-124,996,911",Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Recoveries,No Value
2018-19,"-120,412,360",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services,Recoveries,No Value
2018-19,"-93,309,053",Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,No Value,Recoveries,No Value
2018-19,"-90,970,862",Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,No Value,Recoveries,No Value
2018-19,"-88,880,965",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Ontario Parks,No Value,Recoveries,No Value
2018-19,"-81,270,193",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Recoveries,No Value
2018-19,"-76,264,852",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Fish and Wildlife Special Purpose Funds,Recoveries,No Value
2018-19,"-66,951,660",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Statutory Appropriations,Statutory Appropriations,Recoveries,No value
2018-19,"-59,055,263",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Commission of Ontario,No Value,Recoveries,No Value
2018-19,"-57,104,339",Finance,Operating Expense,Treasury Program,"Statutory Appropriations - Interest on debt, the Financial Administration Act",No Value,Other transactions,Less: Interest Capitalized in Ministry Appropriations
2018-19,"-55,743,883",Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,No Value,Recoveries,No Value
2018-19,"-54,916,041",Government and Consumer Services,Operating Expense,Government Services Integration Cluster,Government Services Integration Cluster,No Value,Recoveries,No Value
2018-19,"-49,927,865",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Recoveries,No Value
2018-19,"-46,213,956",Government and Consumer Services,Operating Expense,Ontario Shared Services Program,OPS Workplace Safety and Insurance Board Centralized Services,No Value,Recoveries,No Value
2018-19,"-44,125,361",Natural Resources and Forestry,Operating Expense,Land and Resources Information and Information Technology Cluster Program,Land and Resources Information Technology Cluster,No Value,Recoveries,No Value
2018-19,"-42,404,600",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2018-19,"-41,779,398",Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Highways Operations and Maintenance,Recoveries,No Value
2018-19,"-40,965,273",Treasury Board Secretariat,Capital Expense,Enterprise Information Technology Services Program,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-40,948,470",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Continuation of Benefits for WSIB & LTIP
2018-19,"-40,010,315",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Public Safety and Emergency Response,Recoveries,No Value
2018-19,"-36,976,813",Government and Consumer Services,Operating Expense,Ontario Shared Services Program,Ontario Shared Services,No Value,Recoveries,No Value
2018-19,"-33,950,248",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Recoveries,No Value
2018-19,"-29,460,264",Transportation,Operating Expense,Labour and Transportation Cluster,Information and Information Technology Services,No Value,Recoveries,No Value
2018-19,"-24,930,516",Treasury Board Secretariat,Operating Expense,Audit Program,Ontario Internal Audit Division,No Value,Recoveries,No Value
2018-19,"-23,721,522",Transportation,Operating Expense,Ministry Administration Program,Business Support,Facilities and Business Services,Recoveries,No Value
2018-19,"-20,054,885",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Recoveries,No Value
