Year,Amount $,Ministry name,Expenditure category (Operating / Capital),Program name,Activity / Item,Sub item,Standard account (Expense/Asset name),Account details (Expense/Asset details)
2020-21,"31,028,700","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Salaries and wages,No Value
2020-21,"16,469,512","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program 
2020-21,"13,606,538","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership - Federal - Public Health and Environment
2020-21,"10,156,635","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Services,No Value
2020-21,"4,445,688","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Employee benefits,No Value
2020-21,"1,128,134","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transportation and communication,No Value
2020-21,"844,822","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
2020-21,"423,404","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2020-21,"273,543","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2020-21,"9,574","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2020-21,"-520,000","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Recoveries,No Value
2020-21,"3,398,155","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2020-21,"2,863,327","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2020-21,"2,696,453","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
2020-21,"2,401,090","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2020-21,"2,018,369","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2020-21,"1,562,332","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2020-21,"1,130,569","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2020-21,"804,151","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2020-21,"748,554","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2020-21,"527,857","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2020-21,"346,228","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
2020-21,"308,738","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2020-21,"266,139","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2020-21,"221,796","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2020-21,"166,869","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
2020-21,"118,359","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2020-21,"65,582","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2020-21,"57,119","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2020-21,"49,301","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
2020-21,"39,346","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2020-21,"33,334","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act"
2020-21,"12,176","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2020-21,"11,173","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2020-21,"10,166","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2020-21,"9,342","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
2020-21,"7,853","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2020-21,"6,216","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2020-21,"3,351","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2020-21,"3,050","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2020-21,692,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
2020-21,"11,388,214","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Salaries and wages,No Value
2020-21,"1,467,820","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Employee benefits,No Value
2020-21,"1,252,923","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Services,No Value
2020-21,"61,732","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Transportation and communication,No Value
2020-21,"24,919","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Supplies and equipment,No Value
