Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2023-24,38443725,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Salaries and wages,No Value
2023-24,5504601,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Employee benefits,No Value
2023-24,1435417,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transportation and communication,No Value
2023-24,12898362,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Services,No Value
2023-24,884796,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2023-24,9667000,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
2023-24,11339325,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership - Federal-Public Health and Env
2023-24,632778,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership - Provincial-Public Health and Env.
2023-24,113450,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
2023-24,519999,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2023-24,-520000,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Recoveries,No Value
2023-24,5107,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2023-24,3339991,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2023-24,387749,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2023-24,96773,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2023-24,187914,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2023-24,30444,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2023-24,2287387,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2023-24,319891,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2023-24,57231,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2023-24,1261561,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2023-24,18866,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2023-24,3106255,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
2023-24,434306,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
2023-24,8696,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
2023-24,572182,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
2023-24,860,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
2023-24,1935002,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2023-24,625469,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2023-24,16375,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2023-24,196291,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2023-24,8075,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2023-24,3926663,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2023-24,549376,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
